comment_sen,score
流畅度：大概八点到几点能到呢等不到你,3
选了包含&ldquo;HORI NSW青春套装（EVA轻薄硬壳保护包+LCD保护膜）&rdquo;的组合，只有主机的相机，没有看到&ldquo;保护包+LCD保护膜&rdquo;,3
国行勇士，买之前不懂，买了之后懂了。,3
国行机，买卡带吧,3
饱经风霜的插头,3
自己不明白为被腾讯割了波韭菜，买国行的一定要三思,3
除了包装破损其他都很好，国服eshop希望快点更新,3
真好，我只花299就清空了商店,3
游戏太少，希望尽快来解决。,3
目前不建议入国行,3
游戏什么时候出,3
国行现在不彳亍,3
等待时间的真正检验,3
没有游戏啊，亲爱的腾讯。,3
唉，入错坑了，还是要买港版或日版的,3
就是一块砖，哪用朝哪儿搬,3
大家都说买国行就是买钻头,3
包装还好，买错版本了，后悔啊，真的不要买国行各位。,3
买回来，没有游戏可玩，国行就是**,3
东西还不错，客服十分的不专业，乱七八糟，不知所云。,3
购买的套装，先把主机送了，游戏卡没有随着一起送来,3
"国行烈士
现在推荐买海外版，以后不一定",3
"流畅度：挺流畅的
稳定性：左边手柄有点松，全看运气",3
两天就促销？你还不如别卖了吧，等来背刺可还行，ns本身没问题就是了,3
闹心。,3
略坑,3
是正品，继承了任天堂一贯的塑料玩具做工。,3
国行勇士,3
送朋友的,3
居然买了国行,3
随便玩玩的话，国行能将就。有更高需求的话，还是算了吧,3
国行不推荐。,3
首先我愿意支持国行也希望国行越来越好，但是现在游戏太少了,3
冲动消费，体验一般吧。,3
没游戏,3
没游戏,3
国行机还可以就是游戏是真的少就一个，已经开始吃灰,3
应该听取别人建议的，买了是挺后悔的，好吧，当了回国行勇士,3
回来就被闺女霸占了，我给三星是因为蓝色的一遍活动，我也懒得换了,3
"稳定性：可以
画面效果：可以
外形外观：边框宽了宽了宽了宽了宽了一点一点",3
买之前看评测说有好几款游戏，买了后发现在线下载只有马里奥一个，还得买游戏卡。,3
"感觉质量确实如网友所说&hellip;我买了几天来着？
游戏也跳水&hellip;",3
国行游戏进有一款，通关了，目前用来盖泡面,3
国行游戏就一款，买其他的游戏只能玩单机就算了，还没有服务器可以连，抓紧点吧,3
谁说网络稳定，速度快的，一晚上下个马车才下18％，更新主机一个多小时，真是呵呵,3
买前没做功课，结果买了才知道国行锁区，有条件的还是买日版或美版吧。,3
买国行本来就满苦逼了，当天就发现秒杀活动有优惠，问了主播说可以用价格保护所以放心了，最后申请时发现套装价格不通过。,3
eshop只有一款游戏,3
本来奔着支持国行销量的想法入了国行，但游戏机出了那么久了还一直画饼，什么时候能准确说上新的游戏,3
买来可以当传家宝，因为你玩不了几天就只能吃灰了！,3
勇士变烈士,3
"东西是好东西，客服是好客服，快递是好快递。
游戏你快点出行不行？",3
还分开发货给个游戏机，卡带还要等，拿个游戏机干瞪眼。,3
感觉自己买了块砖头，什么游戏也没有&hellip;&hellip;期待后续国行多出游戏吧,3
游戏机不错哦有保障，就是没有游戏玩，哈哈，买非行货卡带吧。,3
"流畅度：运行流畅
运行速度：速度很快
画面效果：画面清晰，效果很棒
产品包装：产品包装不错，唯一让人气愤的就是送来的时候只有一个塑料袋包装的，京东你差一个纸箱的钱么？这么贵的东西包装这么草率，真是无语",3
因为疫情日版swich断货+持续高价，所以入手了国行版，其他都好，就是不能添加国行版以外的好友，结果硬是把动森完成了单机版，如果再买一定要买国际版,3
目前国行版只有三个游戏！希望加快更新更多游戏，玩起来还算流畅！但是刚刚收到快递发现外盒被打开过再封上的，问了快递说商家给的就这样！,3
等了2个星期，没有后门，游戏还是只有一款。支持国行的同时也希望腾讯能重视switch这个项目，不要让我们这群国行支持者变成水军口中的烈士。,3
2000多块买一个游戏 真香 别叫switch旗舰店了 叫马里欧兄弟体验店吧,3
很好，盖泡面压的很严实，砸核桃也还可以,3
期望越大失望越大，商城就一个游戏万年玛丽奥，京东快递不错，快递小哥客服不错！,3
