comment_sen,score
"产品包装：腾讯正版包装，带有国行保修一年字样，中文说明书，品质保证。
外形外观：灰黑色套装，这个颜色的手柄已经停产，但是可以在国行机器上面买到全新的
画面效果：效果非常好，试玩了马里奥u试玩版
运行速度：运行速度很快根本不存在卡顿问题
稳定性：稳定性也非常的好
流畅度：流畅度没有任何的问题",5
"流畅度：运行流畅，无卡顿，外接电视机也很流畅
运行速度：运行速度跟预期的一样，属于比较快的
稳定性：稳定性很好，玩了一整天，没有出现死机重启等问题
画面效果：720P，对于这种不大的屏幕来说已经算是挺好的了，色彩很好，外接电视机画面也不错
外形外观：比想象中送大一点，但是握持手感舒适，做工也挺精致
产品包装：包装盒完整无挤压，处女座的我可以接受
国行勇士之一，买了延保，希望各种游戏，特别是体感的，赶紧过审赶紧上",5
很不错，做工还蛮精致的，希望后续推出更多的游戏。疫情期间呆在家挺不错的。坐标武汉。,5
做一回国行勇士！！灰色还是很好看的，实物比效果图精致一些。运行速度可以，流畅不卡顿，游戏过程中很稳定，操作也简单易懂。屏幕应该是720吧？其实还不错，没有特别明显的颗粒感。充电速度也可以，包装也挺好的，物流很快，第二天一早送到，送的包跟贴膜也不错！,5
"流畅度：流畅度没话说，真的很好，响应速度还是游戏运行都很快。
运行速度：速度现在只有马里奥一个，等塞尔达出来，才能真正感受得到。
稳定性：玩了几小时，稳定性也很好，日后用久了不知道会怎样。
画面效果：无论电视还是本机，画面质量都不错，本以为出来效果会很差，但是超出你想象。
外形外观：机子真的帅，手感各方面都很出众
买给老婆以后和孩子一家子互动娱乐的，期待日后多出一点游戏。老婆超喜欢，马上一起马里奥打了几小时，互动性真的很高。至于玩什么大作的，我感觉还不如用电脑2080ti玩的爽，所以掌机还是比较适合出门随手娱乐和家庭互动为主。国行可以了。",5
"产品包装：包装完好，快递速度快。
插上底座健身环，取下来就塞尔达，快过年了还能跟朋友玩一下派对，真香！！！
目前插卡游戏也很棒，期待国行能尽快更新出外服系统！
建议买一个钢化膜，屏幕是比较软，容易划伤，其他收纳包就看个人喜好购买了。",5
我是老任的忠实粉丝了，这次国行发布，必须入手！拿在手上激起重温塞尔达的热情，最喜日落时分在海拉尔的黄金海岸线上的策马狂奔。有朋友在观望，是否上手国行，分享一些实测结果。首先确定是续航加强，然后兼容性没有任何变化，手上的C-FORCE配件不论是便携底座、蓝牙音频适配器还是便携显示屏，都可以完全兼容。另外就是第一次玩塞尔达，没有用好的颜色显示器去玩，这次终于用上了100% AdobeRGB的广色域显示屏。感受太不一样了，海拉尔的星空，草原上尘埃，渔人村的日落都那么的美妙。另外物流非常快，赞！更新游戏补丁和主机版本网速都非常快，然后塞尔达就是中文的了！完美的体验。,5
"用了有一段时间了 就一个感觉 国行游戏好少 我是因为要玩健身房大冒险才买的 没想到健身房涨得那么贵 暂时终止吧 前两天出了马里奥赛车8  奥德赛 都买了 现在正在玩奥德赛 联网国航 不用加速器 建议还是买套 装 一个200g的闪存卡 都好贵 还送保护套 贴膜  加100块值了
流畅度：很流畅很流畅
运行速度：反应很快
画面效果：画面 正常吧 没超过两k 看着还是有很重的颗粒感",5
"运行速度：很好，只要这款游戏没有卡顿
流畅度：很顺畅
产品包装：商品的主要包装很好，但是外层的快递箱子&hellip;&hellip;有损坏
稳定性：很好
画面效果：很不错
外形外观：很漂亮，额不过灰色不耐看&hellip;&hellip;",5
期盼已久的任天堂终于到手了！赶着618活动 特别划算，男朋友也特别喜欢，以后可以一起玩了。对有游戏机不是很懂，但是看着挺好，手感也很不错，值得入手呀！,5
"流畅度：很流畅，效果也很好，未曾发现有卡顿
运行速度：运行卡带游戏无任何卡顿，效果很好
稳定性：目前来说很稳定，这段时间在家陪孩子玩玩游戏了
画面效果：掌机效果还可以吧，接到电视上效果很好，非常清晰
外形外观：买的灰色手柄，外型很喜欢，并可以切换三种模式，很喜欢
产品包装：包装很好，外面有个大纸箱保护，游戏机自带盒子无损伤",5
入坑国航，首先带娃玩，所以不会买一些高强度游戏，带娃玩马里奥派对、马车8（支持卡带）就足够了，马里奥U没玩，塞尔达也没入，没有那么多时间玩。游戏画面很不错，总体来说作为主机和掌机兼顾switch很不错，未来肯定要健身环套走起，这个才是购买switch的最终秘密。,5
终于上手体验了，可惜工作太忙，先拆开看看，总体很满意，特别是大优惠的价格,5
"支持国行，希望越办越好，游戏能够快点上！加油！
产品包装：包装很好，没有损坏。
外形外观：做工很好，手感不错，有份量。",5
对于无论是轻度玩家还是深度爱好者而言，稳定性超棒，外形外观高大上，我挑选的配色很喜欢，我认为比彩色还好看。这款绝对是你不可多得的一件宝物，联网这件事我真的无所谓家里还有，选择国行经济实惠性价比超高的，买游戏卡玩完全不用等龟速的下载游戏时间，大大满足了个人需求。首选收到包装特别好，快递绝对的神速特别特的快，炒鸡装机的第一时间玩起了经典游戏，很流畅一点都不卡。国行真的太有良心了，这段时间一直没涨价，简直就是国货之光呀！支持最好的京东！,5
纠结了好久还是买了灰色的，抗疫时期在家太闲了买来打发时间，马力欧游戏画面很可爱，可能这样的游戏已经不太适合我这样的大龄青年了，所以希望腾讯快快引进塞尔达，以及其他好玩的游戏。最后希望这场新冠疫情赶快过去大家健康平安！,5
"首先京东自营物流还是很给力的，跨区调货江苏送到江西，从下单到手上24小时不到。
国行 家庭娱乐首选，女儿5岁半，就周末陪她玩马车8和派对，很快乐，作为80后的我也是玩着红白机的超级玛丽长大的！
我喜欢灰色手柄，耐包浆，耐盘，耐看。粉红加绿手柄女儿钦点的。
游戏我都买的是卡带，不考虑回血，只是单纯的怀念小时候，换卡玩游戏的快乐。
最后希望国行加油！",5
"流畅度：很好
过年前买的，一直不敢拿出来玩，怕儿子也要玩，可是因为疫情出不了门，实在太无聊了，就拿出了玩了。
东西很好，自己贴了膜，国行锁服不锁卡，外面的卡都可以玩也可以更新，对于依赖网络联机及网网络更新的资深玩家建议再看看，对于我这张纯粹就是自己玩，个人小白来讲，国行很好，非常方便，至少看得懂，上手没压力，想用网络玩接下来肯定有机会的，腾讯不会太差的",5
"我心心念念的SWITCH终于到了
虽然是国行，但是其他版本的玩起来太麻烦就首选啦
刚到的新机子有自带马里奥试玩版，光换人物就玩了好久
等之后的游戏卡带到手，期待后面的上手感觉了。
再夸一下京东物流是真的给力，过年期间还如此迅速。
流畅度：非常稳定很满意
运行速度：非常好
稳定性：非常好
画面效果：任天堂的画面效果很赞
外形外观：很高级很好看
产品包装：很满意",5
"运行速度： 运行起来，很不错哈，我感觉响应的比我的xbox快些，这会不会是心理作用
流畅度：挺溜刷的，相应很快，没有出现死机卡顿现象，目前哈！
画面效果：画面看起来很好，清晰逼真！很好，马里奥玩起来就是小时候的情怀！好棒的！国行版等我一年终于出来了，不想买港版那些！看到新闻说腾讯拿下了代理，一直静等好消息，国内最顶尖的游戏代理商小马哥?！目前就是游戏就只有一个，太少了，抓紧时间，丰富起来！
稳定性：没有遇到这个情况，我问了哈朋友的港版，有时候有这个情况！我的国行版，暂时没有遇到！
外形外观：时尚好看，方便小巧，我不喜欢花花绿绿的，灰色的更适合我！
产品包装：包装很好，不仅仅是自身的，京东包装的很仔细！在这里点个赞，全部齐全，欧对了，国行版的都是预装了马里奥游戏体验版，本身国行游戏商店就只有这一个，不过可以玩港版和日版的卡带游戏！让我们们在等等吧！游戏肯定会更多的",5
一步到位把switch套装跟PRO手柄都一起买了！关注了很久PS4和SWITCH，最终选择的SWITCH，非常适合我跟小孩子可以一起玩游戏互动！孩子们也非常喜欢！非常开心终于入手了SWITCH！,5
开机红屏，和日版（感觉一天一个价）的没什么不同，贴膜也很好（就是贴膜技术不行，自己贴的起泡泡），哈哈哈！一次不错的购物，客服也很有耐心教学。,5
买得真是时候，这两天在家这款游戏机利用率很高，单机操作，和家人一起玩都很好，各方面指标都不错，值得拥有。,5
"流畅度：简直完美，终于等来了国行，给腾讯点赞。
运行速度：switch简直是新时代掌机
稳定性：很好用，特意买的续航版
画面效果：画面太完美了，没有任何异常
外形外观：简直不要太喜欢，大爱
产品包装：包装完好，而且很大的保护薄膜，
给京东快递点赞，次日达太完美了。刚好赶上搞活动，一如既往支持京东。",5
包装严实，产品质量很好，画面流畅，运行速度快，稳定性好，画面效果的话，毕竟是那个年代的游戏，画面没有现在的清洗逼真，但这恰恰是那个年代的特征，也算是圆了童年的一个梦，非常时期禁足在家，有了它的陪伴，时间也不算无聊了。,5
"流畅度：好
稳定性：棒
产品包装：完美
犹豫了很久，之前有想过买日版的，但是 日版现在炒的太贵了，而且我觉得后续国行版本肯定会改进的，而且 中国玩家这么多 不需要瞎担心，再者目前而言 也就是下班回来 放松一会自己玩几句，其他版本的卡带也都可以用，还能保修一年  nice   赞我的  都是好人 谢谢。",5
机子没有任何问题，物流很快，价格实惠~我是冲着游戏舞动2020买的，但是对这些不熟，原来机子和游戏全部都有版本区分，不同版本的游戏必须要配上同版本的游戏机才能玩完全版，目前国产版游戏机配套的游戏只有超级马里奥，想入手的要慎重,5
快递很快，晚上下，第二天就到了。主机很信仰。就是国行游戏只有一个。,5
两年前就想买了，今天终于下手了！因为是国行，全新机器买了不亏！京东很靠谱！,5
非常不错，等国行大量游戏涌入，最好来点手游，和平精英啥的。,5
"流畅度：非常流畅
运行速度：快
稳定性：不错
画面效果：挺好
外形外观：外观没什么都一样
产品包装：挺好
京东物流没的说  上午下的单  下午就到了",5
"任天堂这个游戏机还是很不错的  我一开始是港版游戏机  看到国行任天堂游戏机出来了   马上买了个国行游戏机  支持国行游戏机还是挺不错的  买电子产品我都在京东上买  在京东上买比较放心   满意的一次购物
流畅度：速度挺快的
运行速度：速度很完美  高配玩家
稳定性：我觉得挺稳定的
画面效果：画面效果特别不错  也可以连接电视机玩",5
"流畅度：好快，流畅度很好
运行速度：很好，我买的是套装，现在也没有啥游戏，不卡.
稳定性：第一次玩任天堂的游戏，觉得掌机很不错，只是游戏少了，小霸王那时玩的开心
画面效果：很清晰的，我觉得像素很好，感觉好大屏
外形外观：很好看，看起来高大上，任天堂这点做的不错，现在还不怎么玩，怕影响孩子的学习
产品包装：我的包装很好哟，广州这边的仓库都是有纸箱包装的，不是那种塑料袋 .总体评价，除了游戏现在少点，其它还好，价格是最美丽的，还一年免息京东好棒",5
真香，收到之后很惊喜，质量很好，游戏目前只有一个，期待快点更新，想玩宝可梦剑盾，塞尔达等等，超级玛丽也很好玩，入手的第一个主机，算是完成了儿时的遗憾，希望这个机器可以陪伴我度过艰难的时光真香，收到之后很惊喜，质量很好，游戏目前只有一个，期待快点更新，想玩宝可梦剑盾，塞尔达等等，超级玛丽也很好玩，入手的第一个主机，算是完成了儿时的遗憾，希望这个机器可以陪伴我度过艰难的时光,5
质量非常好，和描述的一样，非常满意真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细严实，物流公司服务态度很好，送货速度很快，非常满意的一次购物。质量非常好，和描述的一样，非常满意真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细严实，物流公司服务态度很好，送货速度很快，非常满意的一次购物。,5
"流畅度：很棒，不愧是新世代的游戏主机，价格也还可以
运行速度：运行速度不错，新品就是新品
稳定性：很稳定的，价格对得起性能
画面效果：比之前的3dsl好太多了，游戏画面精美
外形外观：外观还可以，除了没有买到喜欢的红蓝配色，只能用痛机贴了
产品包装：包装不错，京东自营就是有保障",5
老公买了一台这款游戏机，外观黑灰色的挺好看的，感觉比红蓝那种好看，屏幕挺大的，拿起来手感也不错，里面有马里奥的游戏，给我瞎玩两天。很方便。还有保护壳。,5
在疫情爆发的日子里，家里蹲消磨时间的好东西，感谢任天堂，让一家人不寂寞。很早以前就想买，这次终于按耐不住了，买了很多游戏卡，慢慢玩儿！女儿和老公都很喜欢！质量不错，手感很好！就是希望线上游戏快点上，只有一个马里奥不够玩！,5
对于Ns这个来说，腾讯的代理真是良心，游戏只要299，主机保修一年半，加上京东的配送服务完美，买了所有的游戏，每天都在玩，手柄的振动反馈清晰细腻，游戏流畅无卡顿，最重要的是连上我的三星5K大彩电，那画面超乎想象，感谢京东带给我们这么好的产品。,5
心动很久了，第一次买switch，手感和观感出乎意料的好，很喜欢。除了游戏目前只有一款之外，没什么可挑的。相信国行switch在以后得时间里会上架更多更好玩的游戏，有一个更好的平台，促进国内的主机发展。加油！,5
"流畅度：非常流程，第一次买，很满意，能和朋友玩
运行速度：非常流程
稳定性：目前非常稳定
画面效果：画面效果比预期要好，而且电视模式很方便
外形外观：独特，辨识度高
产品包装：玩毫无生气，八角尖尖
希望国行越来越好，1999，交个朋友",5
"流畅度：很不错
运行速度：速度可以 毕竟掌机
稳定性：没死过机 没顿过
年前打算买了 可是因为疫情原因 推迟到现在才入手
玩过日版的 游戏很多 国行正在推出的只有一个 先委屈一下自己吧 很快就会有大批的游戏推出来了 喜欢连接到电视上玩 分辨率高了
外形外观：携带很方便 可拆卸手柄非常方便",5
