comment_sen,score
估计像我一样纠结买日版？港版？还是国行？的朋友会很多，毕竟考虑到售后问题还是选择了自营国行的京东，虽然目前的游戏还少，但玩日版的游戏还是没问题的，当然可能联网玩就够呛了，但个人还是喜欢单机版游戏。之所以选择任天堂游戏，相信大多数朋友就是冲着红白机时代的超级玛丽等游戏情结来的，我也惊叹超级玛利欧U的游戏能做的这么精致了，连接到60寸的电视画质清晰可见，而且可以同时2&mdash;4人一起玩。和孩子玩游戏也是一种亲子互动，孩子玩的也很开心。特有玩游戏的三种模式也很方便，抽拉式的手柄也很有创意，希望国行的游戏能尽快上市吧！,5
这是一个迟到的评价，儿童节买的，后来因为家里有事一直没来得及拆箱，为此特意给儿子拍了了开箱视频，也是因为最近家里装修一直没时间剪辑，不管怎么说这是一家老小都能玩的游戏，系统后台设置都很简单，设备测试都很好，反正先满足儿子的需求，我再悄悄买自己喜欢的游戏，完美。,5
说实话，有点帅！我应该算是小白玩家，我也觉得中国大部分人都对掌机游戏接触比较少，switch为我们打开了一扇门，体验到游戏的不同乐趣，互动。也支持国行，可以更方便我们使用，虽然现在只有一个游戏，过几天加了两个，但随着疫情结束，我相信好玩的游戏会越来越多。那画质流畅度那肯定不用说，很多很细节的地方也做得很好，期待期待，中国加油！,5
618实现了自己的一个小小心愿，游戏机非常好，画面清晰流畅，机器内置了一个游戏试玩版，多年以前的超级玛丽闪亮登场！目前正在试玩过程中，非常满意。套装里的保护套，贴膜，存储卡都是必备物品，618的价格也很满意。,5
"流畅度：流畅的像风一样自由。
画面效果：它美的像花儿一样艳丽。
外形外观：它红蓝双色经典永流传。
运行速度：它运行起来那风驰电掣的感觉。
稳定性：它稳如泰山，(((&phi;(◎ロ◎;)&phi;)))
产品包装：它精美绝伦馈赠佳品，老婆大人夸我好！
来了！它来了！！国行主机配上健身环大冒险，香！真香！真香啊！！！",5
"画面效果：挺细腻、清晰的，色彩也挺好
流畅度：很流畅，很顺滑
运行速度：很快，一点卡顿都没有
稳定性：很稳定，
产品包装：很好，很安全，防护措施到位
外形外观：很好看，很喜欢，手感也很好，很踏实，一点都不浮躁。",5
激动的心，颤抖的手，NS的手感很棒，这么小的手柄还有震动反馈，真是想不到，几年前买过一台 xbox破解版的游戏机，虽说有很多游戏，可是破解版的画质实在太差了，基本闲置，玩了半年就卖掉了，而且体积巨大，很占空间，NS体验了赛车，画质很棒，还在熟悉游戏中。看了一晚上游戏卡带，太烧钱都。?狠心买了塞尔达和无双大蛇，等体验完了，再追评。,5
"我是一个游戏迷，之前是索尼的铁杆粉丝，ps2,ps3,ps4,psp,psv都买过，任天堂我只玩过红白机，还有最早的黑白屏幕的gameboy,算是个门外汉，不是很懂。去年年底国行刚出的时候纠结了老半天，一直在想，买还是不买，最后还是忍住了没买。疫情期间实在没事干了，王者也打腻了，想玩点有新鲜感的游戏，一看正好赶上主机有六期免息的活动，又加上腾讯这几天发力了，一连推出两款新游戏，就没有再犹豫，果断地买下了它。拿到机器后就马上就爱上了它，做工精细，很大个儿，份量也足，配件很齐全，很人性化，有腕带，有手柄座，连接电视的充电底座，买了一张游戏卡，玩了一下，总体感受还是不错的，很流畅。在京东买电子产品，很放心，售后也有保障。喜欢玩switch的妹子们记得**好友哦！",5
"配送：宝贝包装完整，没有损坏磕碰的现象，物流很棒。
价格：无论是主机还是游戏，价格相对于日版港版便宜很多，非常值得入手。
游戏：很多人担心游戏太少，其实是多余的。腾讯选择的游戏都是画质精致耐玩的游戏，毕竟少而精才能玩出乐趣。
保修：本次购买延长了六个月的保修期，所以再也不用担心joy-con手柄漂移了，陪孩子玩更放心。
总之，入手后增加了家人好友互动的时间，亲子互动又多了一个项目，非常值得入手，也希望腾讯后续引进或制作更多大作。",5
种草很久啦！直到国行出现，果断出手！在手机性能十分强大，APP异常丰富的今天，还能买老任家的掌机，靠的绝对是回忆和情怀！腾讯代理的国行不用担心保修和电源电压匹配问题，绑定微信账号就网上购买正版游戏，价格和实体游戏卡一样，就是数量太少了，目前只有一个&mdash;&mdash;Mario U，比起NDS上的New Super Mario Brothers丰富了些元素和玩法，效果惊人，手柄多种组合方式，连电视画面更惊艳，游戏体验和流畅性是任家绝活，不容怀疑！,5
京东618搞活动家庭掌机非常便宜，主机竟然没抢到。这次也做一把国航烈士收藏，以后收藏一下。老任机还是不错的啊，也满足小时候收藏的梦想，平时玩儿的也不是很多。国行质量真心不错啊，开箱满满的味道。顺便写一下我的港行。纯粹冲着萨尔达买的。,5
"画面效果：连接电视以后 非常清晰，1080高清，画面精致，动态效果很好，没有重影什么的，非常好的体验
运行速度：反应、流畅度很快，没有卡顿现象，体验感很好，
稳定性：很稳定 ，没有闪退，卡退等情况出现
外形外观：外形很酷 尤其手柄，颜色很正，很漂亮
产品包装：产品包装这块 京东有了很好的提升 一开始一个袋子装过来，盒子坏了，换了一个新的 我也提建议用箱子包装，换回来的也是箱子包装了，很好",5
以前买过一台wii 玩了几天就没兴趣了  出于对游戏机只有三分钟热度的考虑  忍了很久  终于下手了  物流那是相当的快呀  我大概是前天晚上十一点多下的单  转天一大早就送到了 到手就试玩儿了下  游戏很流畅  画质也很好  总之 到目前为止 它还是香的 嘻嘻嘻,5
"上午下单，下午就送货了，京东配送666
买的膜?卡?包的套餐，价格很划算，自己贴膜完全*k
多配了一对手柄，朋友聚会必备
玩了一周，机器很流畅，画面也很好，做工质量很棒，反正都挺完美的
体验版的游戏还不错，海外卡带玩起来很流畅，配上健身环真的非常好玩，买就对了",5
给男朋友结婚前的礼物，这不仅是游戏机！这是对他玩游戏的肯定，不要总说游戏重要我重要！男生嘛不爽就揍他，玩游戏的时候也要他玩的开心最重要！也完成了他一个儿时的梦想！男孩子的快乐很简单！只要一个 switch！说了好几个月的心愿，终于满足了，也刚好出了国行，买了塞尔达，一起动手制作了amiibo，很有乐趣，就等马车8和奥德赛了，还有很多游戏！很开心很快乐！对于我这个游戏菜鸟都能接受的游戏！真的好玩！手柄操作触感完美！就是很喜欢&hellip;&hellip;哈哈哈哈,5
发货神速，购买了套装，连接上电视使用，颜色很鲜艳，音效也很好，玩了超级玛丽体验版很有意思，可以是游戏太少了，希望能尽快引更多的独占大作，非常期待，希望是实体卡，价格优惠一点，等不及已经用上了健身圈大冒险，特别期待结果，希望给力，游戏健身两不误，期待国内网友联机功能，加快引进开发进度，希望已经买的外服卡带游戏等国服上线后可以购买DLC,5
