comment_sen,score
游戏商品只有5款。,1
第二次还是少件，游戏卡内存卡都没有,1
先把联网给想办法解决了再给好评,1
该送的礼物了我就不明白了,1
就这东西也敢拿出来？？？？？？怕不是个笑话。,1
建议大家不要买了,1
不要买国行！千万不要买！,1
感觉买了一块砖,1
拆包后不允许退货～还叫什么七天无理由退货～,1
大家看清楚了再买，不然拆了包装退不了，七天无理由条款，也没用！,1
就一个游戏马里奥。,1
都挺好,1
刚买就换套餐内容，可以的,1
啥都不说了，烈士，要求全额退款，,1
没游戏预订送的东西还没双十二好玩个蛇皮,1
还要评价？评个毛,1
游戏机目前没发现问题.一起买的游戏兑换码没了.,1
游戏商店只有一个游戏，游戏机都没游戏玩的,1
3个月不出新游戏，凉了,1
勇敢就完事,1
虚假宣传,1
不香了不香了，没有tf卡，也不让补差价，不香了,1
买来就是开封的，联系客服也联系不上，快递包装也只是产品外面包了层透明塑料袋。,1
机子可以，不错，但是发的游戏盒子坏了，心情很不爽！京东自营的都能这样！,1
下单有说送的布也没送，说好有马车过了一周多还是不出？？？真的不如买日版,1
用着良好，就是这个散热器这里容易看到铜板子，感觉像翻新机一样,1
买个游戏机没有游戏，只能放家里供着。还不能退款。,1
包装破损，打开后无法连接商城和无线网，和客服沟通后无法解决，退货也不给退！,1
"流畅度：不错
运行速度：不错
稳定性：不错
画面效果：不错
外形外观：不错
产品包装：不错
烈士之一，什么时候上怪猎再说吧",1
"千万不要买国行，
运行速度：不错
流畅度：不错
外形外观：不错
产品包装：一般
稳定性：不错
千万不要买国行，只有一款游戏。",1
"流畅度：还可以
产品包装：已经破损
感觉像是退换过的机器，里面包装比较随意，有点脏，保修卡什么的随便放，懒得换了，有问题再说吧",1
承诺的数周有新游戏发售才买的，到现在还没有新游戏，当我们都是傻子吗？没有游戏的游戏机还能算游戏机吗？,1
"等了两周了，还是一个游戏
老子****了，买**拉机国行！",1
国行就一个游戏，其他地方的FIFA，马里奥赛车都不可以联机，腾讯行不行啊到底。,1
我真是上了你这个大B当 发行当天购入 现在过去快俩月还顶蘑菇 游戏发行消息一点没有 外服卡带就是单机版 买的人心里有点数就行,1
不写清楚，买了只能插卡，商城就一个游戏，还不能退。没游戏你卖个锤子的主机,1
我买了一台电视机 但是他没有电视节目 可能是今年 也可能是明年,1
买了块砖，就很有意思。 你们腾讯要是没有准备好就不要放出来，给自已徒增槽点，你就算再便宜些，买的是个阉割版谁也不会好受，游戏过不了审核，那就给个后门好吧,1
这国行游戏没游戏的，港服都支持***了，身为国服唯一的亮点，结果被反杀，勇士立马成了烈士(&acute;?????&omega;?????`) 迎风泪流，买这块砖挺后悔的,1
"我好像当了会烈士。。。 我原本想着有疫情也出不去买个游戏机玩 就这个一天能到  不过确实挺快 就是这游戏略少 心态有点崩
外形外观：可以
产品包装：好看
流畅度：很棒
运行速度：很棒
稳定性：很好
画面效果：很好",1
买国行的完全是冲动消费 机子自带就一个马里奥游戏就腾讯就跑路了 想在机子上玩赛尔达旷野之息的 等到2025年吧 不然你就买卡,1
怎么说呢，快递挺棒的。但这个机子真**啊。到现在还是一个游戏。 国行勇士，目前来看这个词是羞辱我们的。,1
就是一块板砖，拆开绝对退不了的噢，游戏商店里只有一个游戏，哈哈哈哈哈哈哈哈哈，那你还敢上市，良心不痛吗,1
一个左下角黑点坏点   7&mdash;8粒灰尘 其中3颗比较大 一颗灰尘看上去像黑点   还有根毛在屏幕右边靠边上。  除此之外基本满意屏幕色温很好比较舒服v鲜艳明亮。不纠结了 留用了。  其它没坏点的 说不定色温不行了  品控实在是太差了。,1
真的不支持??&hellip;&hellip;就一个游戏！它喵的&hellip;&hellip;你买了他还不如去玩手机呢！或者这段时间不推荐购买这个国行&hellip;&hellip;真的泱泱大国代理的游戏机还不如国外的版本&hellip;&hellip;你买了干嘛！,1
包装太次 客服反应太慢 失望的一次购物,1
国行就能玩几个游戏 垃圾,1
"建议了解后在买！建议了解后在买！建议了解后在买！
建议了解后在买！
产品包装：建议了解后在买！
运行速度：建议了解后在买！
稳定性：建议了解后在买！
画面效果：建议了解后在买！",1
刚开箱发现有划痕真的很不爽换货了，国行勇士们加油！！！！,1
国行没有任何购买价值！！！！什么都没有！！！,1
就一个游戏，不建议买，不建议买，不建议买！！！,1
