comment_sen,score
外形外观：外形瑕疵。,1
还是掏钱买卡带吧,1
价格变的没人性,1
不了解请不要买 请去买日版,1
少配件处理不及时，服务差,1
单独买内存卡都不行 之前都没有告知,1
降价有点难受啊,1
国行啥都玩不了，现在都不要买，不能退的,1
不能联机，想要联网的千万别买，只能买来打单机！,1
我**吐了 买错了还不给退货,1
没有游戏！只有三个游戏！而且拒绝退货！,1
欢迎购买腾讯TV掌上版，退也退不掉，哎,1
产品包装：包装破损，也无法连接笔记本！退不了！?,1
东西不错，1星给京东，售后退换货各种麻烦,1
这个switch还可以 就是售后服务很差,1
退个货慢的要死，国行版没什么用,1
没有留意是国行，卖家不肯退,1
好是好就是没有游戏玩,1
才买几天哦。就降价了。呵呵,1
"买了它  又有何用 
国行又有几款游戏",1
没有意思，没游戏玩,1
辣鸡国行啥也不能玩,1
同货不同价，2099和1950两个价，杀熟。,1
能下的游戏就只有5个，不折不知道一拆开不能退货,1
画面效果：618买的，第二天就屏幕黄线中奖。牛啊。,1
才买几天就以优惠券形式掉价，还没保价！厉害,1
辣鸡，全商城就一个吃蘑菇，建议停售,1
谁买谁后悔,1
差差差，别买，快逃,1
为什么我买了三天降价50块钱，这个钱给我反吗？,1
只有一款游戏也是醉了,1
手柄有问题,1
被人误导买国行，当时已经做好了心理准备，现在还是要一星好评,1
主机无法显示游戏卡，客服管都不管,1
收货手柄就坏，腾讯的客服虚无缥缈。,1
为什么要吧自带游戏写在对比里，对我们这新人很友好,1
2个月还是只有一个游戏,1
没有游戏玩个啥，不能退货有什么办法,1
别买，拆开后不满意不能退,1
等了几天就给我发了个二手货过来这波操作属实有点下饭,1
只有一款游戏，强买强卖，拆包装不让退,1
买了差不多两个星期了，游戏机插进主机盒有点失灵,1
不推荐大家买国行，谁买谁后悔，买国行不如捐出去为慈善事业做贡献。,1
不能连外网 谁买谁上当,1
国行烈士，手柄竟然是没震动的,1
国行版只能单机，不能联网，建议不要买！,1
来个收的    就打开了一次  放盒子没再动过。,1
准备不好就别发售,1
就能玩一个游戏 一个月了 就一个游戏,1
游戏都没有，卖什么机子,1
没游戏我玩什么？一块砖,1
国行锁区？？啥都没有玩啥？？还不让退货？？,1
只有一款游戏也叫游戏机？？？？,1
基本没什么游戏可以买。,1
说话的一月份上的三个游戏呢？现在只有一个是什么情况,1
我买的套装，结果送来的就一台主机，问原因到现在都给不了回复，京东在我心目中不应该是这样,1
不开后门真辜负了对国行的期望，还不如不来。,1
不好用，不能退，不要买,1
没游戏可玩  不靠谱的国航,1
炒鸡差，有问题，不给退，还不给修。还不让换。,1
买来盖泡面挺好的，但是我有iPad了,1
套餐里的膜是坏的 也不能重发 服了,1
国行真的不要买，到现在才出来一个游戏,1
这售后可以说非常可以了,1
说几周出新游戏，现在几周了？,1
没有游戏也能叫游戏机？,1
没游戏 连视频都不能看了,1
**不通 一个游戏的游戏机？,1
有一个坏点，没超过三个不能退换?,1
不给退。全体先死个妈,1
国行完全没有游戏可下，想退,1
什么没有两千多买了个搬砖刘能玩一个游戏,1
游戏再不过审 后门再不开  就等死吧,1
"外形外观：都还行就是不出游戏
流畅度：行",1
连个游戏都没有就来卖  操,1
说好的数周有新游戏，欺诈,1
只有一个游戏可以下载，我要申请退货,1
发的翻新货？？？屏幕是这样的，看图吧。,1
"买的游戏套餐，没收到游戏。
就这样。",1
建议买之前把家里的网换一下，不然配不上人家的机器,1
什么东西，买了就降价,1
就是块砖头，能退货不,1
这不科学，刚买就优惠了，还送200G卡，这什么情况？,1
国行就是个废物，不要买不要买不要买！,1
不出后门估计至少要吃半年灰,1
没有游戏，腾讯不给力，毫无性价比,1
出了一个多月了，还只有一个游戏！呵呵哒,1
买来手柄就有问题  然后换货5天了还在检验,1
买的套装，发过来只有一个主机，主机包装就一个塑料袋子包着，外包装边角各种磕碰,1
就一个游戏，连不了外网,1
谁买谁沙币，对，我就是沙币。???,1
游戏机没有游戏玩叫什么游戏机，我都不要求原价退货居然还不让退,1
机子不能和玩家联机，联系客服退货也不给退,1
**，买完就降价，还有不同的套餐，全是套路,1
后壳有划痕   难受,1
国行不能连服务器我买来看呢？也没个说明！,1
第一天买第二天就突然升配置销售。不给任何补偿。,1
本来对国行充满希望，事实残酷打脸,1
买了快一个月了，只有一款游戏，奇葩。,1
就一个游戏，还不能跟别的版本联机,1
买了快三个月了，还是只有一款游戏，腾讯，牛！,1
就一个游戏，都两个多月没有更新游戏了,1
没游戏，不能联网不能对战，只能单机？？,1
肠子悔青了,1
再也不想买了,1
就一个游戏叫游戏机？,1
画面效果：差,1
6月买的收到的是19年的货，客服说不清楚也不给处理，服了。,1
一个月了我才来评价，游戏呢？马u启动器？,1
国行烈士没游戏玩@,1
没有游戏可玩，无法和海外服务器互通,1
国行再等等，真的再等等。,1
就一个游戏不出新游戏拆封就不让退，这就是国行,1
少了一块布，说两到三天答复，然后就没有然后了。。。。,1
奉劝各位不要买国行！  因为你买回来以后会发现：买了一块砖头。,1
千万不要买哦，就是一个顶蘑菇模拟器。        &mdash;&mdash;勇士的忠告,1
没有达到预期，根本就没有游戏可玩，可以供起来来了,1
里面只有四款游戏，每款游戏还要单独付费。,1
一个半月了，还只有一个游戏，国行版这种情况还要持续多久？,1
三个月还是一个游戏,1
心塞中，看准购买推荐港版！,1
不开后门就是一坨屎^_^,1
一块砖别买 我已经换了港版,1
就一个顶蘑菇，吃枣药丸,1
一颗还是看在马里奥的面子,1
不要买，不要买 我们都是国行烈士 一个多月了只有一个游戏 。,1
没游戏，没游戏，没游戏，不要买，不要买，不要买,1
三个月了，就一个游戏，头都顶烂了,1
买过来就是看的。,1
国行慎买啊  哎  都是眼泪,1
店家不负责，不会再买,1
游戏只有一个怎么玩。通关之后只有吃灰吗？,1
玩**，就一个游戏,1
已退货,1
马里奥启动器都不知道买来干嘛,1
买之前没有看清楚，不建议购买，不介意单机游戏的话可以购买,1
没有说明清楚不能联网玩，退货换货说了一堆理由就是不退换,1
不能联网，真的悔之晚矣，买来吃灰，呜呜呜,1
你们说的游戏呢？几个数周了,1
卖家服务差,1
怪我没看评论，买回来用不了。,1
这么贵只有一个游戏，买的需谨慎。还不如小霸王。,1
国行烈士前来报道,1
